code,name,country,city,state,city_code
AAA,Anaa,PF,,,AAA
AAB,Arrabury Airport,AU,Tanbar,Queensland,AAB
AAC,El Arish International Airport,EG,Arish,Muhafazat Shamal Sina',AAC
AAD,Adado Airport,SO,Adado,,AAD
AAE,Les Salines Airport,DZ,El Hadjar,Annaba,AAE
AAF,Apalachicola Regional,US,Apalachicola,Florida,AAF
AAG,Arapoti,BR,Jaguariaiva,Parana,AAG
AAH,Aachen/Merzbruck,DE,,,AAH
AAI,Arraias,BR,Campos Belos,Goias,AAI
AAJ,Cayana Airstrip,SR,Kajana,Sipaliwini,AAJ
AAK,Aranuka,KI,,,AAK
AAL,Aalborg Airport,DK,Vadum,North Denmark,AAL
AAM,Mala Mala,ZA,,,AAM
AAN,Al Ain Airport,AE,,,AAN
AAO,Anaco,VE,Anaco,Anzoategui,AAO
AAP,Aji Pangeran Tumenggung Pranoto International Airport,ID,,,AAP
AAQ,Anapa Airport,RU,Anapa,Krasnodarskiy,AAQ
AAR,Aarhus Airport,DK,Ebeltoft,Central Jutland,AAR
AAS,Apalapsili,ID,,,AAS
AAT,Altay Airport,CN,Awiytan,Xinjiang Uygur Zizhiqu,AAT
AAU,Asau,WS,Asau,Vaisigano,AAU
AAV,Allah Valley,PH,Surallah,South Cotabato,AAV
AAW,Abbottabad,PK,Abbottabad,Khyber Pakhtunkhwa,AAW
AAX,Araxa Airport,BR,Araxa,Minas Gerais,AAX
AAY,Al Ghaydah,YE,Al Ghayzah,Al Mahrah,AAY
AAZ,Quetzaltenango,GT,Olintepeque,Quetzaltenango,AAZ
ABA,Abakan Airport,RU,Podsineye,Khakasiya,ABA
ABB,Asaba International Airport,NG,Asaba,,ABB
ABC,Los Llanos,ES,,,ABC
ABD,Abadan Airport,IR,Abadan,Khuzestan,ABD
ABE,Lehigh Valley International Airport,US,Catasauqua,Pennsylvania,ABE
ABF,Abaiang,KI,Buota Village,Gilbert Islands,ABF
ABG,Abingdon,AU,,,ABG
ABH,Alpha,AU,,,ABH
ABI,Abilene Regional Airport,US,,,ABI
